Activiteits-ID,Datum van activiteit,Naam activiteit,Activiteitstype,Beweegtijd,Afstand,Max. hartslag,Gemiddelde snelheid,Max. snelheid,Totale stijging,Gemiddelde hartslag,Calorieën,Uitrusting voor activiteit
17114167039,"20 jan 2026, 11:55:58",Zwift - Recovery Spin on Suki's Playground in Makuri Islands,Virtuele fietsrit,2895,"23,41",145.0,"29,1","55,9",165.0,128.1,417.1,
17106931201,"19 jan 2026, 19:24:46",Zwift - Neon After Party in Makuri Islands,Virtuele fietsrit,2333,"23,00",188.0,"35,5","62,4",206.0,164.1,541.3,
17089515541,"18 jan 2026, 08:42:08",Ochtendloop,Hardloopsessie,7237,"21,10",189.0,"10,5","17,6",150.3,179.2,0.0,
17057192120,"15 jan 2026, 12:00:35",Middagloop,Hardloopsessie,2088,"6,38",189.0,"11,0","14,7",29.5,178.5,0.0,
17051210807,"14 jan 2026, 20:01:32",Padel,Padel,5077,"0,00",166.0,"0,0","0,0",0.0,129.1,0.0,
17045135820,"14 jan 2026, 11:03:51",Middagrit,Fietsrit,3369,"26,75",220.0,"28,6","45,1",192.0,183.7,482.7,
17036264210,"13 jan 2026, 17:12:48",Namiddagloop,Hardloopsessie,1628,"5,03",190.0,"11,1","15,3",29.9,178.8,0.0,
17022026395,"12 jan 2026, 12:50:41",Zwift - Southern Coast Cruise in Watopia,Virtuele fietsrit,2425,"24,07",194.0,"35,7","50,9",137.0,160.5,521.9,
17001422399,"10 jan 2026, 10:25:26",Ochtendwandeling,Wandeling,15165,"16,01",152.0,"3,8","11,4",186.4,117.5,0.0,
16977963482,"8 jan 2026, 11:32:11",Zwift - Watts of the Wild in Watopia,Virtuele fietsrit,4322,"42,19",191.0,"35,1","61,1",308.0,165.4,885.4,
16959690362,"6 jan 2026, 19:21:46",Zwift - INEOS Grenadiers Virtual Training Camp | The Cafe Ride on Scotland After Party in Scotland,Virtuele fietsrit,2140,"13,67",159.0,"23,0","50,8",189.0,133.1,282.2,
16944021484,"5 jan 2026, 12:15:21",Zwift - SST (Short) on Mayan 8 in Watopia,Virtuele fietsrit,3007,"25,84",177.0,"30,9","79,3",251.0,156.9,619.7,
16932106443,"4 jan 2026, 10:28:00",Zwift - Three Little Sisters in Watopia,Virtuele fietsrit,3845,"37,97",188.0,"35,6","64,7",434.0,169.0,885.3,
16913338588,"2 jan 2026, 15:34:23",Zwift - Mend on Scotland After Party in Scotland,Virtuele fietsrit,1994,"13,14",147.0,"23,7","47,2",169.0,129.0,250.6,
16901336065,"1 jan 2026, 10:21:08",Happy new year ☃️,Hardloopsessie,5079,"15,02",183.0,"10,6","20,4",131.8,168.7,0.0,
16876268645,"29 dec 2025, 17:30:15",Zwift - Group Ride: SYN Community Spin					 							 (C) on Leith Hill After Party in London,Virtuele fietsrit,4467,"42,27",188.0,"34,1","60,8",438.0,167.7,939.5,
16862481544,"28 dec 2025, 11:31:28",Middagloop,Hardloopsessie,1561,"5,11",191.0,"11,8","17,1",39.2,173.8,0.0,
16851089267,"27 dec 2025, 08:03:07",Ochtendwandeling,Wandeling,3058,"5,03",138.0,"5,9","31,4",49.3,109.7,0.0,
16843091678,"26 dec 2025, 11:31:51",Middagloop,Hardloopsessie,1681,"5,08",180.0,"10,9","15,1",38.2,171.8,0.0,
16836407560,"25 dec 2025, 11:45:48",Zwift - Richmond Loop Around in Richmond,Virtuele fietsrit,5411,"47,70",190.0,"31,7","67,8",575.0,166.2,1108.1,
16822643097,"23 dec 2025, 19:09:09",Zwift - Watts the Limit in New York,Virtuele fietsrit,1883,"17,87",179.0,"34,2","68,1",109.0,146.3,327.7,
16809977622,"22 dec 2025, 12:12:24",Zwift - Race: Stage 3: Fresh Outta '25: Hell of the North (C) on Hell of the North in France,Virtuele fietsrit,2049,"20,15",189.0,"35,4","51,0",240.0,165.0,489.9,
16801876755,"21 dec 2025, 11:58:46",Zwift - The Big Ring in Watopia,Virtuele fietsrit,4834,"49,01",184.0,"36,5","72,9",271.0,171.2,1113.5,
16785516014,"19 dec 2025, 15:48:00",Namiddagloop,Hardloopsessie,1737,"5,52",190.0,"11,4","19,4",32.3,177.8,0.0,
16770827099,"17 dec 2025, 20:01:32",Avondtraining,Padel,5496,"0,00",154.0,"0,0","0,0",0.0,120.4,0.0,
16735848583,"14 dec 2025, 00:14:02",Piste rijden voor de warmste week,Fietsrit,4796,"9,30",239.0,"7,0","36,4",20.9,177.2,379.9,
16683416935,"8 dec 2025, 12:24:36",Zwift - Countryside Tour in Makuri Islands,Virtuele fietsrit,1810,"14,23",177.0,"28,3","65,3",183.0,149.3,362.9,
16674371203,"7 dec 2025, 11:50:37",Middagloop,Hardloopsessie,2374,"7,01",181.0,"10,6","22,1",31.7,171.7,0.0,
16655546017,"5 dec 2025, 11:10:58",Middagloop,Hardloopsessie,1504,"5,01",191.0,"12,0","20,8",50.6,174.9,0.0,
16647371455,"4 dec 2025, 12:30:17",Zwift - 45min Riders Choice on Tick Tock in Watopia,Virtuele fietsrit,2723,"23,55",158.0,"31,1","52,7",65.0,139.9,363.1,
16641445520,"3 dec 2025, 19:39:34",Zwift - Loopin Lava in Watopia,Virtuele fietsrit,2051,"18,43",187.0,"32,3","63,6",212.0,148.3,396.2,
16617880570,"1 dec 2025, 12:22:51",Zwift - Flat Out Fast in Watopia,Virtuele fietsrit,2211,"22,05",178.0,"35,9","44,3",48.0,151.1,441.9,
16607385328,"30 nov 2025, 09:41:19",Ochtendloop,Hardloopsessie,4136,"12,61",187.0,"11,0","28,9",81.2,170.3,0.0,
16590759709,"28 nov 2025, 13:12:31",Zwift - Race: Stage 2: NYC Showdown: Prospect Park Loop (C) on Prospect Park Loop in New York,Virtuele fietsrit,1970,"22,07",192.0,"40,3","62,3",149.0,167.8,470.8,
16576012685,"26 nov 2025, 20:01:20",Padel,Padel,5794,"0,00",147.0,"0,0","0,0",0.0,122.4,0.0,
